"ID","Salmean"
1405,34.494404
1406,34.494404
1407,34.494404
1408,34.494404
1409,34.494404
1410,34.494404
1411,34.494404
1412,34.494404
1413,34.494404
1414,34.494404
1415,34.494404
1416,34.494404
1417,34.494404
1418,34.494404
1419,34.109196
1420,34.101948
1421,34.109196
1422,34.083683
1423,34.083683
1424,34.060135
1425,34.083683
1426,34.101948
1427,34.101948
1428,34.109196
1429,34.109196
1430,34.109196
1431,34.109196
1432,34.109196
1433,34.109196
1434,34.109196
1435,34.109196
1436,34.109196
1437,34.109196
1438,34.109196
1439,34.109196
1440,34.109196
1441,34.109196
1442,34.109196
1443,NA
1444,33.695026
1445,33.695026
1446,33.695026
1447,33.695026
1448,33.695026
1449,33.695026
1450,33.695026
1451,33.695026
1452,33.695026
1453,33.695026
1454,33.695026
1455,33.695026
1456,33.695026
1457,33.681408
1458,33.681408
1459,33.681408
1460,33.681408
1461,33.681408
1462,33.681408
1463,33.690903
1464,33.690903
1465,33.690903
1466,33.690903
1467,33.681408
1468,33.681408
1469,33.681408
1470,33.681408
1471,33.681408
1472,33.681408
1473,33.681408
1474,33.681408
1475,33.681408
1476,33.681408
1477,33.651199
1478,33.651199
1479,33.651199
1480,33.658543
1481,33.658543
1482,33.658543
1483,33.677025
1484,33.677025
1485,33.677025
1486,33.677025
1487,33.677025
1488,33.663742
1489,33.663742
1490,33.663742
1491,33.663742
1492,33.663742
1493,33.663742
1494,33.663742
1495,33.647179
1496,33.647179
1497,33.647179
1498,33.647179
1499,33.647179
1500,33.66444
1501,33.66444
1502,33.66444
1503,33.66444
1504,33.66444
1505,33.66444
1506,33.66444
1507,33.66444
1508,33.647179
1509,33.647179
1510,33.647179
1511,33.647179
1512,33.647179
1513,33.647179
1514,33.647179
1515,33.647179
1516,34.060688
1517,34.060688
1518,33.922077
1519,33.922077
1520,33.962517
1521,33.962517
1522,33.922077
1523,33.922077
1524,33.922077
1525,33.922077
1526,34.099407
1527,34.060688
1528,34.060688
1529,34.060688
1530,34.060688
1531,34.060688
1532,34.060688
1533,34.060688
1534,34.060688
1535,34.060688
1536,33.988487
1537,33.988487
1538,33.988487
1539,33.988487
1540,33.988487
1541,33.958439
1542,33.958439
1543,33.936214
1544,33.913898
1545,33.936214
1546,33.989155
1547,34.044075
1548,34.044075
1549,34.044075
1550,33.987614
1551,33.974758
1552,33.974758
1553,33.974758
1554,33.974758
1555,33.974758
1556,33.987614
1557,33.987614
1558,33.987614
1559,33.987614
1560,33.987614
1561,33.987614
1562,34.043068
1563,34.043068
1564,34.043068
1565,34.043068
1566,34.043068
1567,34.043068
1568,34.043068
1569,34.043068
1570,34.043068
1571,34.043068
1572,34.044075
1573,34.043068
1574,34.043068
1575,34.043068
1576,34.043068
1577,34.043068
1578,34.03751
1579,34.03751
1580,34.03751
1581,34.03751
1582,34.03751
1583,34.03751
1584,34.03751
1585,34.03751
1586,34.03751
1587,34.03751
1588,34.03751
1589,34.03751
1590,34.03751
1591,34.043068
1592,34.043068
1593,34.043068
1594,34.043068
1595,34.043068
1596,34.043068
1597,34.043068
1598,34.051453
1599,34.051453
1600,34.051453
1601,34.051453
1602,33.99979
1603,34.044075
1604,34.044075
1605,34.044075
1606,34.044075
1607,34.083012
1608,34.083012
1609,34.083012
1610,34.083012
1611,34.110138
1612,34.110138
1613,34.110138
1614,34.110138
1615,34.110138
1616,34.044537
1617,34.044537
1618,34.044537
1619,34.044537
1620,34.044537
1621,34.044537
1622,34.044537
1623,34.044537
1624,34.110138
1625,34.110138
1626,34.110138
1627,34.110138
1628,34.110138
1629,34.110138
1630,34.110138
1631,34.110138
1632,34.110138
1633,34.110138
1634,34.110138
1635,34.110138
1636,34.110138
1637,34.110138
1638,34.110138
1639,34.083012
1640,34.083012
1641,34.073647
1642,34.131142
1643,34.131142
1644,34.131142
1645,34.131142
1646,34.131142
1647,34.131142
1648,34.131142
1649,34.131142
1650,34.131142
1651,34.131142
1652,34.131142
1653,34.131142
1654,34.131142
1655,34.140289
1656,34.131142
1657,34.131142
1658,34.140289
1659,34.140289
1660,34.140289
1661,34.140289
1662,34.140289
1663,34.140289
1664,34.168221
1665,34.168221
1666,34.233868
1667,34.233868
1668,34.233868
1669,34.233868
1670,34.168221
1671,NA
1672,NA
1673,33.452084
1674,33.452084
1675,33.452084
1676,33.452084
1677,33.452084
1678,33.452084
1679,33.452084
1680,33.452084
1681,33.452084
1682,33.452084
1683,33.452084
1684,33.452084
1685,34.203831
1686,34.147289
1687,34.147289
1688,34.124046
1689,34.147289
1690,34.148876
1691,34.148876
1692,34.148876
1693,34.147289
1694,34.147289
1695,34.147289
1696,34.148876
1697,34.148876
1698,34.136604
1699,34.147289
1700,34.136604
1701,34.065399
1702,34.158905
1703,34.18618
1704,34.146004
1705,34.17355
1706,34.146004
1707,34.138077
1708,34.17355
1709,34.138077
1710,34.158428
1711,34.158428
1712,34.17355
1713,34.17355
1714,34.188099
1715,34.158428
1716,34.158428
1717,34.116417
1718,34.138077
1719,34.138077
1720,34.131454
1721,34.188099
1722,34.188099
1723,34.138077
1724,34.138077
1725,34.138077
1726,34.138077
1727,34.138077
1728,34.138077
1729,34.138077
1730,34.138077
1731,34.138077
1732,34.138077
1733,34.138077
1734,34.138077
1735,34.138077
1736,34.138077
1737,34.138077
1738,34.138077
1739,34.138077
1740,34.138077
1741,34.138077
1742,34.138077
1743,34.138077
1744,34.138077
1745,34.138077
1746,34.138077
1747,34.185432
1748,34.185432
1749,34.185432
1750,34.203831
1751,34.203831
1752,34.167248
1753,34.167248
1754,34.167248
1755,34.167248
1756,34.161366
1757,34.161366
1758,34.161366
1759,34.161366
1760,34.368008
1761,34.368008
1762,34.368008
1763,34.368008
1764,34.368008
1765,34.368008
1766,34.368008
1767,34.450729
1768,34.450729
1769,34.450729
1770,34.450729
1771,34.368008
1772,34.302505
1773,34.302505
1774,34.302505
1775,34.302505
1776,34.302505
1777,34.302505
1778,34.278397
1779,34.278397
1780,34.278397
1781,34.234207
1782,34.234207
1783,34.234207
