"ID","Y","X","Year_HGU","BO2_tempmax_bdmean","X.1","Y.1","optional"
12846,61.170636,6.654082,2012,1.75574445724487,6.654082,61.170636,TRUE
12847,61.170698,6.653838,2012,1.75574445724487,6.653838,61.170698,TRUE
12848,61.1707439999999,6.653576,2012,1.75574445724487,6.653576,61.1707439999999,TRUE
12849,61.1725169999999,6.653025,2012,1.75574445724487,6.653025,61.1725169999999,TRUE
12850,61.172687,6.652156,2012,1.75574445724487,6.652156,61.172687,TRUE
12851,61.1727169999999,6.652,2012,1.75574445724487,6.652,61.1727169999999,TRUE
12852,61.1727709999999,6.651728,2012,1.75574445724487,6.651728,61.1727709999999,TRUE
12853,61.172922,6.651407,2012,1.75574445724487,6.651407,61.172922,TRUE
12854,61.173386,6.629956,2012,1.75574445724487,6.629956,61.173386,TRUE
12855,61.173859,6.63068,2012,1.75574445724487,6.63068,61.173859,TRUE
12856,61.1738429999999,6.631087,2012,1.75574445724487,6.631087,61.1738429999999,TRUE
12857,61.174174,6.631406,2012,1.75574445724487,6.631406,61.174174,TRUE
12858,61.1737889999999,6.630825,2012,1.75574445724487,6.630825,61.1737889999999,TRUE
12859,61.026895,5.464082,2012,8.98424530029297,5.464082,61.026895,TRUE
12860,61.02378,5.409656,2012,-0.0395877733826637,5.409656,61.02378,TRUE
12861,61.0238549999999,5.410372,2012,-0.0395877733826637,5.410372,61.0238549999999,TRUE
12862,61.024734,5.412282,2012,-0.0395877733826637,5.412282,61.024734,TRUE
12863,61.024808,5.412504,2012,-0.0395877733826637,5.412504,61.024808,TRUE
12864,61.024805,5.412714,2012,-0.0395877733826637,5.412714,61.024805,TRUE
12865,61.031227,5.461915,2012,8.98424530029297,5.461915,61.031227,TRUE
12866,61.031215,5.462133,2012,8.98424530029297,5.462133,61.031215,TRUE
12867,61.0318449999999,5.463808,2012,8.98424530029297,5.463808,61.0318449999999,TRUE
12868,61.031905,5.464037,2012,8.98424530029297,5.464037,61.031905,TRUE
12869,61.010586,5.469978,2012,8.98424530029297,5.469978,61.010586,TRUE
12870,61.0105519999999,5.469741,2012,8.98424530029297,5.469741,61.0105519999999,TRUE
12882,59.963549,5.954334,2012,9.71729755401611,5.954334,59.963549,TRUE
12883,59.963507,5.953466,2012,9.71729755401611,5.953466,59.963507,TRUE
12884,59.963467,5.953223,2012,9.71729755401611,5.953223,59.963467,TRUE
12885,59.9633669999999,5.952876,2012,9.71729755401611,5.952876,59.9633669999999,TRUE
12886,59.963262,5.952569,2012,9.71729755401611,5.952569,59.963262,TRUE
12887,59.9627979999999,5.951826,2012,9.71729755401611,5.951826,59.9627979999999,TRUE
12888,59.9627369999999,5.951642,2012,9.71729755401611,5.951642,59.9627369999999,TRUE
12889,59.9623849999999,5.951196,2012,9.71729755401611,5.951196,59.9623849999999,TRUE
12890,59.962049,5.950253,2012,9.71729755401611,5.950253,59.962049,TRUE
12891,59.9580989999999,5.947194,2012,9.71729755401611,5.947194,59.9580989999999,TRUE
12962,62.7794719999999,7.515733,2012,13.7065458297729,7.515733,62.7794719999999,TRUE
12963,62.781182,7.540773,2012,13.7065458297729,7.540773,62.781182,TRUE
12964,62.7876139999999,7.588376,2012,14.2402467727661,7.588376,62.7876139999999,TRUE
12965,62.7883229999999,7.590832,2012,14.2402467727661,7.590832,62.7883229999999,TRUE
12966,62.7882499999999,7.591767,2012,14.2402467727661,7.591767,62.7882499999999,TRUE
12967,62.779434,7.635074,2012,14.2402467727661,7.635074,62.779434,TRUE
12968,62.772741,7.535986,2012,13.7065458297729,7.535986,62.772741,TRUE
12969,62.7728749999999,7.536278,2012,13.7065458297729,7.536278,62.7728749999999,TRUE
12970,62.772976,7.536486,2012,13.7065458297729,7.536486,62.772976,TRUE
12973,62.6161889999999,6.463036,2012,12.6680192947388,6.463036,62.6161889999999,TRUE
12974,62.616421,6.46308,2012,12.6680192947388,6.46308,62.616421,TRUE
12975,62.599372,6.456554,2012,12.6680192947388,6.456554,62.599372,TRUE
12976,62.583623,6.460943,2012,12.6680192947388,6.460943,62.583623,TRUE
12977,62.568662,6.458574,2012,15.1554183959961,6.458574,62.568662,TRUE
12982,62.7630079999999,7.481867,2012,14.777117729187,7.481867,62.7630079999999,TRUE
12992,61.368132,5.560999,2012,NA,5.560999,61.368132,TRUE
12993,61.374965,5.53452,2012,NA,5.53452,61.374965,TRUE
12995,61.381898,5.409288,2012,10.5942659378052,5.409288,61.381898,TRUE
12996,61.3416319999999,5.198501,2012,9.20217704772949,5.198501,61.3416319999999,TRUE
12997,61.3414429999999,5.198377,2012,9.20217704772949,5.198377,61.3414429999999,TRUE
12998,61.3290849999999,5.134988,2012,13.3339967727661,5.134988,61.3290849999999,TRUE
12999,61.3291309999999,5.135026,2012,13.3339967727661,5.135026,61.3291309999999,TRUE
13009,61.0318169999999,5.463957,2012,8.98424530029297,5.463957,61.0318169999999,TRUE
13011,59.9631609999999,5.952408,2012,9.71729755401611,5.952408,59.9631609999999,TRUE
13018,62.780394,7.518894,2012,13.7065458297729,7.518894,62.780394,TRUE
